Rank,Geographic Area,2019
148,"Oceanside, California","175,742"
149,"Elk Grove, California","174,775"
150,"Salem, Oregon","174,365"
151,"Pembroke Pines, Florida","173,591"
152,"Eugene, Oregon","172,622"
153,"Garden Grove, California","171,644"
154,"Cary town, North Carolina","170,282"
155,"Fort Collins, Colorado","170,243"
156,"Corona, California","169,868"
157,"Springfield, Missouri","167,882"
158,"Jackson, Mississippi","160,628"
159,"Alexandria, Virginia","159,428"
160,"Hayward, California","159,203"
161,"Clarksville, Tennessee","158,146"
162,"Lakewood, Colorado","157,935"
163,"Lancaster, California","157,601"
164,"Salinas, California","155,465"
165,"Palmdale, California","155,079"
166,"Hollywood, Florida","154,817"
167,"Springfield, Massachusetts","153,606"
168,"Macon-Bibb County, Georgia","153,159"
169,"Kansas City, Kansas","152,960"
170,"Sunnyvale, California","152,703"
171,"Pomona, California","151,691"
172,"Killeen, Texas","151,666"
173,"Escondido, California","151,625"
174,"Pasadena, Texas","151,227"
175,"Naperville, Illinois","148,449"
176,"Bellevue, Washington","148,164"
177,"Joliet, Illinois","147,344"
178,"Murfreesboro, Tennessee","146,900"
179,"Midland, Texas","146,038"
180,"Rockford, Illinois","145,609"
181,"Paterson, New Jersey","145,233"
182,"Savannah, Georgia","144,464"
183,"Bridgeport, Connecticut","144,399"
184,"Torrance, California","143,592"
185,"McAllen, Texas","143,268"
186,"Syracuse, New York","142,327"
187,"Surprise, Arizona","141,664"
188,"Denton, Texas","141,541"
189,"Roseville, California","141,500"
190,"Thornton, Colorado","141,464"
191,"Miramar, Florida","141,191"
192,"Pasadena, California","141,029"
193,"Mesquite, Texas","140,937"
194,"Olathe, Kansas","140,545"
195,"Dayton, Ohio","140,407"
196,"Carrollton, Texas","139,248"
197,"Waco, Texas","139,236"
198,"Orange, California","138,669"
199,"Fullerton, California","138,632"
200,"Charleston, South Carolina","137,566"
201,"West Valley City, Utah","135,248"
202,"Visalia, California","134,605"
203,"Hampton, Virginia","134,510"
204,"Gainesville, Florida","133,997"
205,"Warren, Michigan","133,943"
206,"Coral Springs, Florida","133,759"
207,"Cedar Rapids, Iowa","133,562"
208,"Round Rock, Texas","133,372"
209,"Sterling Heights, Michigan","132,438"
210,"Kent, Washington","132,319"
211,"Columbia, South Carolina","131,674"
212,"Santa Clara, California","130,365"
213,"New Haven, Connecticut","130,250"
214,"Stamford, Connecticut","129,638"
215,"Concord, California","129,295"
216,"Elizabeth, New Jersey","129,216"
217,"Athens-Clarke County unified government (balance), Georgia","126,913"
218,"Thousand Oaks, California","126,813"
219,"Lafayette, Louisiana","126,185"
220,"Simi Valley, California","125,613"
221,"Topeka, Kansas","125,310"
222,"Norman, Oklahoma","124,880"
223,"Fargo, North Dakota","124,662"
224,"Wilmington, North Carolina","123,744"
225,"Abilene, Texas","123,420"
226,"Odessa, Texas","123,334"
227,"Columbia, Missouri","123,195"
228,"Pearland, Texas","122,460"
229,"Victorville, California","122,385"
230,"Hartford, Connecticut","122,105"
231,"Vallejo, California","121,692"
232,"Allentown, Pennsylvania","121,442"
233,"Berkeley, California","121,363"
234,"Richardson, Texas","121,323"
235,"Arvada, Colorado","121,272"
236,"Ann Arbor, Michigan","119,980"
237,"Rochester, Minnesota","118,935"
238,"Cambridge, Massachusetts","118,927"
239,"Sugar Land, Texas","118,488"
240,"Lansing, Michigan","118,210"
241,"Evansville, Indiana","117,979"
242,"College Station, Texas","117,911"
243,"Fairfield, California","117,133"
244,"Clearwater, Florida","116,946"
245,"Beaumont, Texas","116,825"
246,"Independence, Missouri","116,672"
247,"Provo, Utah","116,618"
248,"West Jordan, Utah","116,480"
249,"Murrieta, California","116,223"
250,"Palm Bay, Florida","115,552"
251,"El Monte, California","115,487"
252,"Carlsbad, California","115,382"
252,"North Charleston, South Carolina","115,382"
254,"Temecula, California","114,761"
255,"Clovis, California","114,584"
256,"Springfield, Illinois","114,230"
257,"Meridian, Idaho","114,161"
258,"Westminster, Colorado","113,166"
259,"Costa Mesa, California","113,003"
260,"High Point, North Carolina","112,791"
261,"Manchester, New Hampshire","112,673"
262,"Pueblo, Colorado","112,361"
263,"Lakeland, Florida","112,136"
264,"Pompano Beach, Florida","112,118"
265,"West Palm Beach, Florida","111,955"
266,"Antioch, California","111,502"
267,"Everett, Washington","111,475"
268,"Downey, California","111,126"
269,"Lowell, Massachusetts","110,997"
270,"Centennial, Colorado","110,937"
271,"Elgin, Illinois","110,849"
272,"Richmond, California","110,567"
273,"Peoria, Illinois","110,417"
274,"Broken Arrow, Oklahoma","110,198"
275,"Miami Gardens, Florida","110,001"
276,"Billings, Montana","109,577"
277,"Jurupa Valley, California","109,527"
278,"Sandy Springs, Georgia","109,452"
279,"Gresham, Oregon","109,381"
280,"Lewisville, Texas","109,212"
281,"Hillsboro, Oregon","109,128"
282,"San Buenaventura (Ventura), California","109,106"
283,"Greeley, Colorado","108,649"
284,"Inglewood, California","108,151"
285,"Waterbury, Connecticut","107,568"
286,"League City, Texas","107,536"
287,"Santa Maria, California","107,263"
288,"Tyler, Texas","106,985"
289,"Davie town, Florida","106,306"
290,"Daly City, California","106,280"
291,"Boulder, Colorado","105,673"
292,"Allen, Texas","105,623"
293,"West Covina, California","105,101"
294,"Sparks, Nevada","105,006"
295,"Wichita Falls, Texas","104,683"
296,"Green Bay, Wisconsin","104,578"
297,"San Mateo, California","104,430"
298,"Norwalk, California","103,949"
299,"Rialto, California","103,526"
300,"Las Cruces, New Mexico","103,432"
301,"Chico, California","103,301"
302,"El Cajon, California","102,708"
303,"Burbank, California","102,511"
304,"South Bend, Indiana","102,026"
305,"Renton, Washington","101,751"
306,"Vista, California","101,638"
307,"Davenport, Iowa","101,590"
308,"Edinburg, Texas","101,170"
309,"Tuscaloosa, Alabama","101,129"
310,"Carmel, Indiana","101,068"
311,"Spokane Valley, Washington","101,060"
312,"San Angelo, Texas","101,004"
313,"Vacaville, California","100,670"
314,"Bend, Oregon","100,421"
315,"Kenosha, Wisconsin","99,944"
316,"Boca Raton, Florida","99,805"
317,"Lee's Summit, Missouri","99,357"
318,"Nampa, Idaho","99,277"
319,"Rio Rancho, New Mexico","99,178"
320,"South Fulton, Georgia","99,155"
321,"Roanoke, Virginia","99,143"
322,"Beaverton, Oregon","99,037"
323,"Yuma, Arizona","98,285"
324,"Lawrence, Kansas","98,193"
325,"Orem, Utah","97,828"
326,"Longmont, Colorado","97,261"
327,"San Marcos, California","96,664"
328,"Albany, New York","96,460"
329,"Sandy, Utah","96,380"
330,"Concord, North Carolina","96,341"
331,"Federal Way, Washington","96,289"
332,"Hesperia, California","95,750"
333,"Brockton, Massachusetts","95,708"
334,"Compton, California","95,605"
335,"Flint, Michigan","95,538"
336,"Erie, Pennsylvania","95,508"
337,"New Bedford, Massachusetts","95,363"
338,"Fishers, Indiana","95,310"
339,"Sunrise, Florida","95,166"
340,"Roswell, Georgia","94,763"
341,"Menifee, California","94,756"
342,"Tracy, California","94,740"
343,"Plantation, Florida","94,580"
344,"Quincy, Massachusetts","94,470"
345,"Portsmouth, Virginia","94,398"
346,"Mission Viejo, California","94,381"
347,"Chino, California","94,371"
348,"Lynn, Massachusetts","94,299"
349,"Edmond, Oklahoma","94,054"
350,"Dearborn, Michigan","93,932"
351,"Livonia, Michigan","93,665"
352,"Yakima, Washington","93,637"
353,"South Gate, California","93,444"
354,"Greenville, North Carolina","93,400"
355,"Lawton, Oklahoma","93,025"
356,"Kirkland, Washington","93,010"
357,"Asheville, North Carolina","92,870"
358,"Deltona, Florida","92,757"
359,"Redding, California","92,590"
360,"Bellingham, Washington","92,314"
361,"Suffolk, Virginia","92,108"
362,"Indio, California","91,765"
363,"Mount Pleasant town, South Carolina","91,684"
364,"Carson, California","91,394"
365,"Santa Barbara, California","91,364"
366,"Conroe, Texas","91,079"
367,"Westminster, California","90,643"
368,"Santa Monica, California","90,401"
369,"New Braunfels, Texas","90,209"
370,"Livermore, California","90,189"
371,"Palm Coast, Florida","89,800"
372,"St. George, Utah","89,587"
373,"Fall River, Massachusetts","89,541"
374,"Nashua, New Hampshire","89,355"
375,"Champaign, Illinois","88,909"
376,"Miami Beach, Florida","88,885"
377,"Norwalk, Connecticut","88,816"
378,"San Leandro, California","88,815"
379,"O'Fallon, Missouri","88,673"
380,"Newton, Massachusetts","88,414"
381,"Reading, Pennsylvania","88,375"
382,"Avondale, Arizona","87,931"
383,"Fort Smith, Arkansas","87,891"
384,"Citrus Heights, California","87,796"
